Quarter,Production
Mar-1956,284
Jun-1956,213
Sep-1956,227
Dec-1956,308
Mar-1957,262
Jun-1957,228
Sep-1957,236
Dec-1957,320
Mar-1958,272
Jun-1958,233
Sep-1958,237
Dec-1958,313
Mar-1959,261
Jun-1959,227
Sep-1959,250
Dec-1959,314
Mar-1960,286
Jun-1960,227
Sep-1960,260
Dec-1960,311
Mar-1961,295
Jun-1961,233
Sep-1961,257
Dec-1961,339
Mar-1962,279
Jun-1962,250
Sep-1962,270
Dec-1962,346
Mar-1963,294
Jun-1963,255
Sep-1963,278
Dec-1963,363
Mar-1964,313
Jun-1964,273
Sep-1964,300
Dec-1964,370
Mar-1965,331
Jun-1965,288
Sep-1965,306
Dec-1965,386
Mar-1966,335
Jun-1966,288
Sep-1966,308
Dec-1966,402
Mar-1967,353
Jun-1967,316
Sep-1967,325
Dec-1967,405
Mar-1968,393
Jun-1968,319
Sep-1968,327
Dec-1968,442
Mar-1969,383
Jun-1969,332
Sep-1969,361
Dec-1969,446
Mar-1970,387
Jun-1970,357
Sep-1970,374
Dec-1970,466
Mar-1971,410
Jun-1971,370
Sep-1971,379
Dec-1971,487
Mar-1972,419
Jun-1972,378
Sep-1972,393
Dec-1972,506
Mar-1973,458
Jun-1973,387
Sep-1973,427
Dec-1973,565
Mar-1974,465
Jun-1974,445
Sep-1974,450
Dec-1974,556
Mar-1975,500
Jun-1975,452
Sep-1975,435
Dec-1975,554
Mar-1976,510
Jun-1976,433
Sep-1976,453
Dec-1976,548
Mar-1977,486
Jun-1977,453
Sep-1977,457
Dec-1977,566
Mar-1978,515
Jun-1978,464
Sep-1978,431
Dec-1978,588
Mar-1979,503
Jun-1979,443
Sep-1979,448
Dec-1979,555
Mar-1980,513
Jun-1980,427
Sep-1980,473
Dec-1980,526
Mar-1981,548
Jun-1981,440
Sep-1981,469
Dec-1981,575
Mar-1982,493
Jun-1982,433
Sep-1982,480
Dec-1982,576
Mar-1983,475
Jun-1983,405
Sep-1983,435
Dec-1983,535
Mar-1984,453
Jun-1984,430
Sep-1984,417
Dec-1984,552
Mar-1985,464
Jun-1985,417
Sep-1985,423
Dec-1985,554
Mar-1986,459
Jun-1986,428
Sep-1986,429
Dec-1986,534
Mar-1987,481
Jun-1987,416
Sep-1987,440
Dec-1987,538
Mar-1988,474
Jun-1988,440
Sep-1988,447
Dec-1988,598
Mar-1989,467
Jun-1989,439
Sep-1989,446
Dec-1989,567
Mar-1990,485
Jun-1990,441
Sep-1990,429
Dec-1990,599
Mar-1991,464
Jun-1991,424
Sep-1991,436
Dec-1991,574
Mar-1992,443
Jun-1992,410
Sep-1992,420
Dec-1992,532
Mar-1993,433
Jun-1993,421
Sep-1993,410
Dec-1993,512
Mar-1994,449
Jun-1994,381
Sep-1994,423
Dec-1994,531
Mar-1995,426
Jun-1995,408
Sep-1995,416
Dec-1995,520
Mar-1996,409
Jun-1996,398
Sep-1996,398
Dec-1996,507
Mar-1997,432
Jun-1997,398
Sep-1997,406
Dec-1997,526
Mar-1998,428
Jun-1998,397
Sep-1998,403
Dec-1998,517
Mar-1999,435
Jun-1999,383
Sep-1999,424
Dec-1999,521
Mar-2000,421
Jun-2000,402
Sep-2000,414
Dec-2000,500
Mar-2001,451
Jun-2001,380
Sep-2001,416
Dec-2001,492
Mar-2002,428
Jun-2002,408
Sep-2002,406
Dec-2002,506
Mar-2003,435
Jun-2003,380
Sep-2003,421
Dec-2003,490
Mar-2004,435
Jun-2004,390
Sep-2004,412
Dec-2004,454
Mar-2005,416
Jun-2005,403
Sep-2005,408
Dec-2005,482
Mar-2006,438
Jun-2006,386
Sep-2006,405
Dec-2006,491
Mar-2007,427
Jun-2007,383
Sep-2007,394
Dec-2007,473
Mar-2008,420
Jun-2008,390
Sep-2008,410
Dec-2008,488
Mar-2009,415
Jun-2009,398
Sep-2009,419
Dec-2009,488
Mar-2010,414
Jun-2010,374
